"","epitope","ic50_median","ic80_median"
"1","CD4bs",0.577549116840297,0.483120644232182
"2","Fusion peptide",0.632291760306924,0.495077585328511
"3","MPER",0.609469938747029,0.415089388355744
"4","Subunit interface",0.525912143748448,0.455145473843471
"5","V1V2",0.69325992291706,0.619229829468315
"6","V3",0.654042460315264,0.584105814746547
