"","epitope","ic50_median","ic80_median"
"1","CD4bs",0.991704129060809,0.99086412878533
"2","Fusion peptide",0.996674110177178,0.973343985528248
"3","MPER",0.985802528364004,0.993813289151186
"4","Subunit interface",0.98782655080026,0.994906379707843
"5","V1V2",0.993850926738805,0.992253501114538
"6","V3",0.998475360885411,0.996199348615896
